106.347,3,Output On Event,TrayLight #1,,9,0,,,,,,,,
106.347,16,Variable Event,First_Trial,,9,1,Value,0,,,,,,
106.347,16,Variable Event,First_Analysis,,9,1,Value,1,,,,,,
106.347,16,Variable Event,ITI,,9,1,Value,20,,,,,,
106.347,21,Group Change Event,Group Change,,9,1,New Group,15,,,,,,
106.347,1,Condition Event,Start Correction Trial,,15,0,,,,,,,,
106.347,16,Variable Event,Correction_Trial,,15,1,Value,1,,,,,,
106.347,21,Group Change Event,Group Change,,15,1,New Group,16,,,,,,
106.347,1,Condition Event,Tray Entry Noted,,16,0,,,,,,,,
106.347,4,Output Off Event,TrayLight #1,,16,0,,,,,,,,
106.347,4,Output Off Event,Sound #1,,16,0,,,,,,,,
106.347,4,Output Off Event,Sound #2,,16,0,,,,,,,,
106.347,4,Output Off Event,Sound #3,,16,0,,,,,,,,
106.347,7,Pulse Output Event,Sound_On #1,,16,1,Duration,0,,,,,,
106.347,21,Group Change Event,Group Change,,16,1,New Group,17,,,,,,
108.498,39,Input Transition Off Event,Tray #1,,17,0,,,,,,,,
108.498,1,Condition Event,Tray Exit Starts Correction Trial,,17,0,,,,,,,,
108.498,16,Variable Event,Total_No_Correction_Trials,,17,1,Value,3,,,,,,
108.498,21,Group Change Event,Group Change,,17,1,New Group,6,,,,,,
108.498,1,Condition Event,Display Images,,6,0,,,,,,,,
108.498,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Images,6,2,Position,2,Image 1,0,,,,
108.498,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Images,6,2,Position,1,Image 2,1,,,,
108.498,21,Group Change Event,Group Change,,6,1,New Group,7,,,,,,
109.735,38,Input Transition On Event,Tray #1,,7,0,,,,,,,,
111.504,39,Input Transition Off Event,Tray #1,,7,0,,,,,,,,
112.2,39,Input Transition Off Event,BIRBeam #1,,7,0,,,,,,,,
112.433,38,Input Transition On Event,FIRBeam #1,,7,0,,,,,,,,
112.847,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,7,4,Position,2,Image 1,0,CoordX,151,CoordY,221
112.847,1,Condition Event,Correct,,7,0,,,,,,,,
112.847,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,7,2,Position,2,Image 1,0,,,,
112.847,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,7,2,Position,1,Image 1,0,,,,
112.847,7,Pulse Output Event,Feeder #1,,7,1,Duration,0.28,,,,,,
112.847,3,Output On Event,TrayLight #1,,7,0,,,,,,,,
112.847,16,Variable Event,Correction_Counter,,7,1,Value,0,,,,,,
112.847,21,Group Change Event,Group Change,,7,1,New Group,19,,,,,,
112.847,1,Condition Event,Reset Sound Levels to Zero,,19,0,,,,,,,,
112.847,4,Output Off Event,Sound #1,,19,0,,,,,,,,
112.847,4,Output Off Event,Sound #2,,19,0,,,,,,,,
112.847,4,Output Off Event,Sound #3,,19,0,,,,,,,,
112.847,21,Group Change Event,Group Change,,19,1,New Group,20,,,,,,
112.848,1,Condition Event,Adjust Sound Level 2,,20,0,,,,,,,,
112.848,3,Output On Event,Sound #2,,20,0,,,,,,,,
112.848,1,Condition Event,NoTone Fall Through,,20,0,,,,,,,,
112.848,21,Group Change Event,Group Change,,20,1,New Group,21,,,,,,
112.848,1,Condition Event,Play Tone,,21,0,,,,,,,,
112.848,7,Pulse Output Event,Sound_On #1,,21,1,Duration,1,,,,,,
112.848,21,Group Change Event,Group Change,,21,1,New Group,8,,,,,,
112.848,1,Condition Event,Reset Correction Flag,,8,0,,,,,,,,
112.848,16,Variable Event,Sequential_Correction_Trials,,8,1,Value,0,,,,,,
112.848,16,Variable Event,Correction_Trial_Correct_Counter,,8,1,Value,1,,,,,,
112.848,16,Variable Event,First_Analysis,,8,1,Value,0,,,,,,
112.848,61,Group Maintain Event,Group Change,,8,1,New Group,8,,,,,,
112.983,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,8,4,Position,2,Image 1,0,CoordX,175,CoordY,212
113.504,39,Input Transition Off Event,FIRBeam #1,,8,0,,,,,,,,
113.664,38,Input Transition On Event,BIRBeam #1,,8,0,,,,,,,,
114.021,38,Input Transition On Event,Tray #1,,8,0,,,,,,,,
114.021,1,Condition Event,Reward Collected Start ITI,,8,0,,,,,,,,
114.021,4,Output Off Event,TrayLight #1,,8,0,,,,,,,,
114.021,29,Timer Event,ITI_Timer,,8,1,Value,0,,,,,,
114.021,21,Group Change Event,Group Change,,8,1,New Group,9,,,,,,
118.242,39,Input Transition Off Event,Tray #1,,9,0,,,,,,,,
118.279,38,Input Transition On Event,Tray #1,,9,0,,,,,,,,
118.305,39,Input Transition Off Event,Tray #1,,9,0,,,,,,,,
119.565,38,Input Transition On Event,Tray #1,,9,0,,,,,,,,
122.862,39,Input Transition Off Event,Tray #1,,9,0,,,,,,,,
134.021,1,Condition Event,Next trial,,9,0,,,,,,,,
