29.515,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,
29.515,4,Output Off Event,Sound #1,,3,0,,,,,,,,
29.515,4,Output Off Event,Sound #2,,3,0,,,,,,,,
29.515,4,Output Off Event,Sound #3,,3,0,,,,,,,,
29.515,7,Pulse Output Event,Sound_On #1,,3,1,Duration,0,,,,,,
29.515,16,Variable Event,_Trial_Counter,,3,1,Value,1,,,,,,
29.515,16,Variable Event,Correct_Percent,,3,1,Value,1,,,,,,
29.515,16,Variable Event,Correct_Percent,,3,1,Value,1,,,,,,
29.515,16,Variable Event,Correct_Percent,,3,1,Value,100,,,,,,
29.515,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,
29.634,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,
29.634,1,Condition Event,Start Trial,,4,0,,,,,,,,
29.634,16,Variable Event,Correct_Grid_Position,,4,1,Value,2,,,,,,
29.634,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,
29.634,1,Condition Event,Incorrect Left,,5,0,,,,,,,,
29.634,16,Variable Event,Incorrect_Grid_Position,,5,1,Value,1,,,,,,
29.634,21,Group Change Event,Group Change,,5,1,New Group,6,,,,,,
29.635,1,Condition Event,Display Images,,6,0,,,,,,,,
29.635,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Images,6,2,Position,2,Image 1,0,,,,
29.635,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Images,6,2,Position,1,Image 2,1,,,,
29.635,21,Group Change Event,Group Change,,6,1,New Group,7,,,,,,
29.879,38,Input Transition On Event,Tray #1,,7,0,,,,,,,,
29.99,39,Input Transition Off Event,Tray #1,,7,0,,,,,,,,
30.243,39,Input Transition Off Event,BIRBeam #1,,7,0,,,,,,,,
30.67,38,Input Transition On Event,FIRBeam #1,,7,0,,,,,,,,
31.194,30,Touch Down Event,Bussey Mouse Operant Mode 2 x 1 x low,,7,4,Position,1,Image 2,1,CoordX,51,CoordY,212
31.195,1,Condition Event,Incorrect,,7,0,,,,,,,,
31.195,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,7,2,Position,2,Image 1,0,,,,
31.195,32,Whisker - Display Image,Bussey Mouse Operant Mode 2 x 1 x low,Background,7,2,Position,1,Image 1,0,,,,
31.195,3,Output On Event,Sound #1,,7,0,,,,,,,,
31.195,3,Output On Event,Sound #2,,7,0,,,,,,,,
31.195,3,Output On Event,Sound #3,,7,0,,,,,,,,
31.195,7,Pulse Output Event,Sound_On #1,,7,1,Duration,0,,,,,,
31.195,29,Timer Event,Time_Out_Timer,,7,1,Value,0,,,,,,
31.195,21,Group Change Event,Group Change,,7,1,New Group,10,,,,,,
31.195,1,Condition Event,TO Houselight On,,10,0,,,,,,,,
31.195,3,Output On Event,HouseLight #1,,10,0,,,,,,,,
31.195,21,Group Change Event,Group Change,,10,1,New Group,11,,,,,,
31.195,1,Condition Event,Not correcting,,11,0,,,,,,,,
31.195,16,Variable Event,Increment_this_trial,,11,1,Value,1,,,,,,
31.195,21,Group Change Event,Group Change,,11,1,New Group,12,,,,,,
31.195,1,Condition Event,Incorrect Trails to Correction Trial,,12,0,,,,,,,,
31.195,16,Variable Event,Correction_Counter,,12,1,Value,1,,,,,,
31.195,21,Group Change Event,Group Change,,12,1,New Group,18,,,,,,
31.195,1,Condition Event,Change ITI time,,18,0,,,,,,,,
31.195,16,Variable Event,ITI,,18,1,Value,20,,,,,,
31.195,21,Group Change Event,Group Change,,18,1,New Group,13,,,,,,
31.291,31,Touch Up Event,Bussey Mouse Operant Mode 2 x 1 x low,,13,4,Position,1,Image 1,0,CoordX,51,CoordY,204
33.255,39,Input Transition Off Event,FIRBeam #1,,13,0,,,,,,,,
33.535,38,Input Transition On Event,BIRBeam #1,,13,0,,,,,,,,
33.975,38,Input Transition On Event,Tray #1,,13,0,,,,,,,,
34.291,39,Input Transition Off Event,Tray #1,,13,0,,,,,,,,
36.195,1,Condition Event,Time Out End,,13,0,,,,,,,,
36.195,29,Timer Event,ITI_Timer,,13,1,Value,0,,,,,,
36.195,21,Group Change Event,Group Change,,13,1,New Group,14,,,,,,
36.195,1,Condition Event,Reset Houselight off,,14,0,,,,,,,,
36.195,4,Output Off Event,HouseLight #1,,14,0,,,,,,,,
36.195,21,Group Change Event,Group Change,,14,1,New Group,9,,,,,,
41.294,39,Input Transition Off Event,BIRBeam #1,,9,0,,,,,,,,
41.682,38,Input Transition On Event,FIRBeam #1,,9,0,,,,,,,,
44.658,39,Input Transition Off Event,FIRBeam #1,,9,0,,,,,,,,
44.81,38,Input Transition On Event,FIRBeam #1,,9,0,,,,,,,,
45.673,39,Input Transition Off Event,FIRBeam #1,,9,0,,,,,,,,
46.053,38,Input Transition On Event,BIRBeam #1,,9,0,,,,,,,,
48.253,39,Input Transition Off Event,BIRBeam #1,,9,0,,,,,,,,
51.921,38,Input Transition On Event,BIRBeam #1,,9,0,,,,,,,,
52.396,39,Input Transition Off Event,BIRBeam #1,,9,0,,,,,,,,
56.195,1,Condition Event,Next trial,,9,0,,,,,,,,
